"Date","Open","High","Low","Close","Adj Close","Volume"
"2011-07-28","300.639618","305.999756","299.551697","303.496063","303.496063",6257100
"2011-07-29","300.162720","305.493073","299.894470","299.894470","299.894470",8328500
"2011-08-01","303.635132","305.761322","297.654053","301.424530","301.424530",7983700
"2011-08-02","301.042023","302.865143","293.873627","294.285950","294.285950",6442700
"2011-08-03","295.214905","299.551697","289.929291","298.642609","298.642609",7701100
"2011-08-04","295.329163","297.490112","286.869202","286.894043","286.894043",9893100
"2011-08-05","289.387817","293.093719","279.184174","287.649109","287.649109",11935200
"2011-08-08","279.671021","282.661560","270.416199","271.245819","271.245819",15090600
"2011-08-09","278.687408","285.448425","268.756989","284.852325","284.852325",13023500
"2011-08-10","278.876190","280.237335","272.095276","272.731140","272.731140",10809000
"2011-08-11","275.120605","282.413177","272.433075","279.248749","279.248749",9723900
"2011-08-12","282.909943","283.406708","278.389343","280.063446","280.063446",6349600
"2011-08-15","274.926880","280.669525","271.260712","276.814575","276.814575",14382600
"2011-08-16","274.430084","274.435059","263.436584","267.758484","267.758484",13968900
"2011-08-17","268.270172","270.088348","263.670074","264.852386","264.852386",8211200
"2011-08-18","260.043671","260.749084","248.627914","250.808731","250.808731",12663100
"2011-08-19","248.056625","255.771454","243.844025","243.873840","243.873840",10890300
"2011-08-22","250.371567","251.861877","245.667175","247.475418","247.475418",9875500
"2011-08-23","250.123184","259.020325","247.917542","257.733704","257.733704",8750000
"2011-08-24","257.987030","263.287567","256.943817","259.954254","259.954254",7235600
"2011-08-25","263.476349","266.899078","257.475372","258.339752","258.339752",6628600
"2011-08-26","258.314911","263.511108","254.912048","261.727722","261.727722",7239200
"2011-08-29","265.552826","267.982025","265.056061","267.798218","267.798218",4701900
"2011-08-30","267.356110","269.740601","263.689941","268.602997","268.602997",6016800
"2011-08-31","270.609955","271.384888","266.268188","268.732147","268.732147",5421500
"2011-09-01","268.627838","270.157898","263.893616","264.529480","264.529480",4862300
"2011-09-02","260.540436","262.254303","258.682526","260.724243","260.724243",4833500
"2011-09-06","253.749603","259.690948","253.600571","259.402832","259.402832",5466900
"2011-09-07","263.511108","266.238373","261.995972","265.289551","265.289551",5547400
"2011-09-08","265.175293","267.808167","264.231415","265.751556","265.751556",4791800
"2011-09-09","263.983032","265.597534","258.911041","260.729218","260.729218",6580000
"2011-09-12","257.306458","264.276154","257.077942","263.347168","263.347168",5375400
"2011-09-13","264.281097","265.215027","260.008881","263.049133","263.049133",4739000
"2011-09-14","264.574188","266.740112","261.211060","264.315887","264.315887",5423800
"2011-09-15","266.019806","270.729156","265.552826","269.526978","269.526978",5960000
"2011-09-16","270.639740","271.653168","269.815125","271.573669","271.573669",7114500
"2011-09-19","268.429138","273.173279","265.960175","271.568695","271.568695",4968800
"2011-09-20","272.924896","277.455414","269.581635","271.548828","271.548828",5594200
"2011-09-21","272.075409","275.706787","267.688934","267.857849","267.857849",5061300
"2011-09-22","261.424683","262.681519","255.339264","258.647736","258.647736",8857800
"2011-09-23","256.610992","261.509125","255.587646","261.057068","261.057068",5590600
"2011-09-26","261.921448","264.743103","254.966690","264.226471","264.226471",5302500
"2011-09-27","267.361084","271.757477","266.293030","267.927399","267.927399",6060900
"2011-09-28","269.000397","270.252258","262.144989","262.711304","262.711304",4556000
"2011-09-29","266.288055","266.913971","258.026794","262.045654","262.045654",5850900
"2011-09-30","258.424194","260.306946","255.528030","255.855911","255.855911",5482500
"2011-10-03","253.277679","254.345734","245.900650","246.158966","246.158966",9006900
"2011-10-04","243.431717","250.093384","238.747177","249.328354","249.328354",8371600
"2011-10-05","246.571289","252.259293","238.831635","250.719315","250.719315",9127100
"2011-10-06","252.110260","255.950287","249.676102","255.691971","255.691971",6893100
"2011-10-07","256.745117","258.568268","253.501221","255.895645","255.895645",5748800
"2011-10-10","260.893127","266.998444","259.909546","266.849396","266.849396",4674500
"2011-10-11","265.006378","271.633301","265.006378","269.834991","269.834991",5743800
"2011-10-12","272.293976","275.821045","270.555298","272.477783","272.477783",6396800
"2011-10-13","273.237854","277.693878","272.239349","277.688904","277.688904",11449000
"2011-10-14","297.798096","297.862701","291.886566","293.928284","293.928284",17170600
"2011-10-17","289.973999","294.002808","287.132477","289.323242","289.323242",8068500
"2011-10-18","288.220398","294.365448","286.834412","293.347046","293.347046",7650900
"2011-10-19","291.772308","294.117065","287.738525","288.473755","288.473755",5901100
"2011-10-20","289.069885","292.542297","287.882599","289.949158","289.949158",6801800
"2011-10-21","292.850281","294.459808","291.454376","293.337128","293.337128",6826000
"2011-10-24","291.464294","298.046509","291.355011","296.282959","296.282959",6898300
"2011-10-25","294.633698","295.577545","289.541809","289.695801","289.695801",5113900
"2011-10-26","292.870148","293.183136","284.579102","291.260620","291.260620",5783400
"2011-10-27","297.276489","299.402679","294.733032","297.400696","297.400696",7609600
"2011-10-28","295.339111","299.203979","295.204987","298.130951","298.130951",5048500
"2011-10-31","295.622253","297.907410","293.923309","294.405182","294.405182",5148800
"2011-11-01","288.175690","290.863220","286.511505","287.455383","287.455383",6290700
"2011-11-02","290.560181","292.080292","288.364471","290.520447","290.520447",4269300
"2011-11-03","291.603394","296.819489","289.973999","296.819489","296.819489",5374200
"2011-11-04","294.832397","297.932251","294.300842","296.143860","296.143860",5706300
"2011-11-07","294.742981","302.423035","294.201508","302.199493","302.199493",6758400
"2011-11-08","302.532318","305.199982","299.849762","304.191528","304.191528",6098100
"2011-11-09","300.177643","302.726044","297.395721","298.533325","298.533325",7470200
"2011-11-10","301.007233","301.017181","293.868652","295.617310","295.617310",5774000
"2011-11-11","298.707184","304.067322","297.365936","302.209412","302.209412",8005600
"2011-11-14","302.035553","307.042969","301.926270","304.519409","304.519409",6418800
"2011-11-15","304.420044","307.042969","303.277466","306.287903","306.287903",5386700
"2011-11-16","304.062378","307.152283","303.332123","303.759338","303.759338",5250900
"2011-11-17","303.053925","304.166687","296.461792","298.493591","298.493591",7032000
"2011-11-18","299.054932","300.296844","294.956604","295.517944","295.517944",6618000
"2011-11-21","291.980957","292.348541","284.196564","288.592987","288.592987",6041500
"2011-11-22","288.126007","290.594971","285.761383","288.126007","288.126007",4841900
"2011-11-23","285.816040","288.250214","283.212982","283.212982","283.212982",4681700
"2011-11-25","280.768860","285.279541","278.851349","279.680939","279.680939",3145000
"2011-11-28","287.813049","292.507507","286.387329","292.194550","292.194550",5694500
"2011-11-29","292.040558","293.272552","288.786713","289.581543","289.581543",3687300
"2011-11-30","297.043030","297.817993","294.131958","297.758362","297.758362",6838000
"2011-12-01","298.061401","306.009705","297.564636","304.901917","304.901917",7288300
"2011-12-02","306.531311","309.983856","306.138855","308.175629","308.175629",8224400
"2011-12-05","311.792084","313.908325","309.189026","310.803528","310.803528",6436400
"2011-12-06","309.482117","312.278931","308.115997","309.869598","309.869598",4683100
"2011-12-07","308.831360","310.808502","307.052917","309.680817","309.680817",4543900
"2011-12-08","308.513428","311.697693","305.661957","306.034546","306.034546",4857500
"2011-12-09","307.003235","312.532288","306.511444","311.682800","311.682800",5568300
"2011-12-12","308.930695","311.066803","308.140839","310.674377","310.674377",4396100
"2011-12-13","312.348480","316.223267","309.412567","310.793579","310.793579",8108700
"2011-12-14","308.915802","310.142822","304.266052","307.038025","307.038025",7858100
"2011-12-15","309.248627","309.983856","307.346008","307.768250","307.768250",4848500
"2011-12-16","310.142822","312.626678","308.727020","310.957520","310.957520",8976600
"2011-12-19","311.975891","312.219299","307.996765","308.905853","308.905853",4314700
"2011-12-20","311.970917","313.878510","311.965973","313.148285","313.148285",4807400
"2011-12-21","312.969421","313.868591","307.480133","310.887970","310.887970",5028200
"2011-12-22","311.946106","313.823883","311.479126","312.815430","312.815430",3668200
"2011-12-23","313.958008","315.289337","313.242645","314.524323","314.524323",2926200
"2011-12-27","313.982849","320.162659","313.958008","318.056335","318.056335",3233700
"2011-12-28","319.298279","320.416016","316.988312","317.783142","317.783142",4281900
"2011-12-29","318.672333","319.422455","315.547668","319.124390","319.124390",3171200
"2011-12-30","318.935638","321.290314","318.935638","320.863098","320.863098",3587600
"2012-01-03","324.360352","331.916199","324.077179","330.555054","330.555054",7400800
"2012-01-04","330.366272","332.959412","328.175537","331.980774","331.980774",5765200
"2012-01-05","328.925659","329.839722","325.994720","327.375732","327.375732",6608400
"2012-01-06","327.445282","327.867523","322.795532","322.909790","322.909790",5420700
"2012-01-09","321.161163","321.409546","308.607819","309.218842","309.218842",11720900
"2012-01-10","312.840271","314.852203","306.461761","309.556641","309.556641",8848200
"2012-01-11","309.735474","312.661438","308.553162","310.957520","310.957520",4831000
"2012-01-12","313.570526","314.400116","311.225769","312.785645","312.785645",3774700
"2012-01-13","311.106537","311.449310","308.523346","310.475647","310.475647",4644500
"2012-01-17","313.948059","313.948059","310.818420","312.259064","312.259064",3843300
"2012-01-18","311.290344","314.951538","309.049927","314.410065","314.410065",5559200
"2012-01-19","318.423950","318.423950","313.689758","317.718536","317.718536",12692600
"2012-01-20","293.356995","293.590485","288.970520","291.101654","291.101654",21290100
"2012-01-23","291.106628","292.428040","289.695801","290.868195","290.868195",6870100
"2012-01-24","291.265594","291.941193","287.132477","288.588013","288.588013",6151200
"2012-01-25","286.889069","287.485199","281.360016","282.904968","282.904968",10040200
"2012-01-26","284.141937","285.383850","280.450928","282.214478","282.214478",6494300
"2012-01-27","283.545807","288.284973","282.825500","288.116089","288.116089",7281900
"2012-01-30","287.157318","288.126007","284.847351","286.978485","286.978485",4691200
"2012-01-31","289.616333","290.113098","285.716675","288.180664","288.180664",4312500
"2012-02-01","290.580048","290.858246","287.698792","288.538330","288.538330",4671500
"2012-02-02","290.545288","291.310303","289.159302","290.664520","290.664520",4860700
"2012-02-03","293.421570","296.605865","292.125000","296.238251","296.238251",6378200
"2012-02-06","295.582520","303.441406","295.085754","302.577026","302.577026",7407000
"2012-02-07","301.613281","302.726044","299.929260","301.424530","301.424530",4211200
"2012-02-08","302.353485","303.699738","300.416077","302.954559","302.954559",3696500
"2012-02-09","304.032562","305.264557","302.532318","303.754364","303.754364",4558800
"2012-02-10","301.975952","302.100128","300.048462","300.997314","300.997314",4680500
"2012-02-13","303.277466","304.936676","303.039032","304.121979","304.121979",3656100
"2012-02-14","303.794098","304.022614","300.426025","302.909851","302.909851",3630800
"2012-02-15","304.484619","304.484619","299.333130","300.823425","300.823425",4883300
"2012-02-16","299.462280","302.437927","296.933746","301.300323","301.300323",5094600
"2012-02-17","300.530334","301.851746","299.253632","300.366394","300.366394",4929900
"2012-02-21","299.983887","306.943634","299.492096","305.016174","305.016174",4993800
"2012-02-22","304.002747","306.397186","301.394714","302.005737","302.005737",3959500
"2012-02-23","301.538788","302.005737","298.235260","301.096649","301.096649",4136600
"2012-02-24","301.712646","303.848755","300.798584","302.979401","302.979401",3896300
"2012-02-27","301.335114","304.201477","300.575043","302.686310","302.686310",3651300
"2012-02-28","303.029083","307.882507","301.876587","307.196991","307.196991",5732100
"2012-02-29","307.301300","310.778687","305.761322","307.127441","307.127441",6314500
"2012-03-01","309.119476","310.828369","307.077759","309.189026","309.189026",4504300
"2012-03-02","308.990326","309.983856","308.155731","308.617737","308.617737",3167000
"2012-03-05","308.210388","309.233734","303.714630","305.140350","305.140350",3207200
"2012-03-06","302.060394","302.437927","295.001312","300.525360","300.525360",6390000
"2012-03-07","302.557159","303.620239","300.972473","301.439423","301.439423",2545400
"2012-03-08","303.048950","303.774231","301.215881","301.608337","301.608337",2708300
"2012-03-09","302.010712","303.972961","298.061401","298.185577","298.185577",5375800
"2012-03-12","298.061401","301.538788","297.693787","300.619751","300.619751",3359600
"2012-03-13","302.408112","306.928711","300.818451","306.893951","306.893951",4520700
"2012-03-14","305.512939","309.377808","304.747894","306.004730","306.004730",5911900
"2012-03-15","306.307770","309.735474","305.428497","308.558136","308.558136",4901700
"2012-03-16","308.438904","310.932678","308.021606","310.500488","310.500488",6140600
"2012-03-19","309.546692","316.575989","308.612762","314.941620","314.941620",4373800
"2012-03-20","313.421509","315.974884","311.608276","314.698181","314.698181",3100900
"2012-03-21","315.254578","321.603271","314.211365","317.922211","317.922211",4971200
"2012-03-22","317.187012","322.303711","313.461243","320.937622","320.937622",4851700
"2012-03-23","321.210846","322.154694","318.379242","319.218781","319.218781",3905500
"2012-03-26","320.416016","322.646484","317.703644","322.567017","322.567017",3661900
"2012-03-27","321.424438","324.638550","320.316650","321.419464","321.419464",4040500
"2012-03-28","323.908295","327.167084","323.436371","325.761230","325.761230",5110700
"2012-03-29","324.608734","326.173553","320.068268","322.109985","322.109985",3873500
"2012-03-30","323.769196","324.633575","318.428925","318.548157","318.548157",4651400
"2012-04-02","318.314667","321.657928","315.368835","321.369812","321.369812",4598000
"2012-04-03","320.619690","321.881470","317.256561","319.233704","319.233704",4116300
"2012-04-04","317.162170","317.435394","313.510925","315.522827","315.522827",3276300
"2012-04-05","314.077240","316.158691","312.254089","314.116974","314.116974",4667500
"2012-04-09","312.209381","315.612244","310.624695","313.381744","313.381744",4393600
"2012-04-10","314.713104","315.199921","310.257080","311.404602","311.404602",4996200
"2012-04-11","314.936646","315.945068","313.610260","315.925201","315.925201",4426400
"2012-04-12","319.099579","324.459717","318.061310","323.401581","323.401581",11588000
"2012-04-13","321.682770","322.398102","309.755341","310.281921","310.281921",16424700
"2012-04-16","309.487091","309.889465","298.886047","301.076782","301.076782",11458100
"2012-04-17","302.313751","306.849243","301.543762","302.815491","302.815491",6087100
"2012-04-18","302.060394","304.420044","299.457306","301.762329","301.762329",5373600
"2012-04-19","300.888000","306.138855","297.564636","297.713654","297.713654",6632000
"2012-04-20","300.172668","302.457794","295.989868","296.104126","296.104126",6156600
"2012-04-23","294.534332","297.291412","293.193054","296.869141","296.869141",4424000
"2012-04-24","297.187073","301.354980","296.730072","298.692291","298.692291",3883200
"2012-04-25","300.048462","303.699738","299.492096","302.889984","302.889984",3665800
"2012-04-26","303.481140","307.003235","302.880066","305.746429","305.746429",4212100
"2012-04-27","305.522858","306.377319","303.327148","305.502991","305.502991",3293900
"2012-04-30","304.514435","306.049438","298.364441","300.470734","300.470734",4845900
"2012-05-01","299.944153","303.823914","298.155792","300.262085","300.262085",4030600
"2012-05-02","298.657532","302.090179","298.364441","301.667938","301.667938",3243900
"2012-05-03","302.840302","305.428497","302.507477","303.535797","303.535797",3760200
"2012-05-04","301.002258","301.980896","296.476715","296.556183","296.556183",4443500
"2012-05-07","295.577545","303.312256","295.577545","301.812012","301.812012",4014800
"2012-05-08","300.808533","306.456787","298.409149","304.415070","304.415070",5389400
"2012-05-09","301.449371","306.198486","298.960541","302.606842","302.606842",4687800
"2012-05-10","304.499512","306.104095","303.143341","304.847260","304.847260",3091700
"2012-05-11","303.202942","305.289398","300.431000","300.659485","300.659485",4226000
"2012-05-14","298.448883","302.283936","298.349518","300.048462","300.048462",3672500
